"title","budget_usd","rating"
"Otto; or, Up with Dead People",9000000,"5.1"
"9 Dead Gay Guys",9000,"6.2"
"Shelter",880000,"7.6"
"Home Room",88000000,"7.1"
"A Paris Education",88000000,"6.4"
"Just Another Love Story",88000000,"7.1"
"Killer Raccoons! 2! Dark Christmas in the Dark!",88000000,"4.2"
"Irina Palm",88000000,"7.2"
"Downtown Express",87000000,"7.9"
"Call Me Kuchu",87000000,"7.6"
"Last Dance",86500000,"7.4"
"L'Chayim, Comrade Stalin",86000000,"6.9"
"Daaaaaali!",850000,"6.6"
"Leonera",850000,"7"
"Vazante",850000,"6.4"
"Mama Africa",850000,"7"
"Revolution OS",850000,"7.2"
"The Helix... Loaded",850000,"2.2"
"In the House of Flies",85000000,"4.4"
"Ferrante Fever",85000000,"6.3"
"Anchor Baby",85000000,"6.5"
"Harold and Lillian: A Hollywood Love Story",85000000,"7.9"
"11 Flowers",85000000,"7"
"Visual Acoustics",85000000,"7.4"
"The Gospel of Eureka",85000000,"6.3"
"The Inner Life of Martin Frost",85000000,"5.1"
"Trophy",85000000,"7.3"
"Landfill Harmonic",85000000,"8.1"
"The Intruder",85000000,"6.6"
"I Sell the Dead",85000000,"6"
"Into Eternity: A Film for the Future",85000000,"7.3"
"Perestroika",85000000,"4.3"
"The Taqwacores",85000000,"5.9"
"I Used to Be Darker",85000000,"5.6"
"Cavemen",85000000,"5.3"
"The Unknown Soldier",85000000,"7.4"
"My Country, My Country",85000000,"7.1"
"Elevate",85000000,"6.9"
"Midnight Traveler",85000000,"7.6"
"Antônia",85000000,"6.3"
"Herman's House",85000000,"6.3"
"Skin Deep",85000000,"6.1"
"Divan",85000000,"6.8"
"Death Defying Acts",85000000,"5.8"
"Japón",85000000,"6.8"
"Stage Fright",85000000,"5.2"
"Cadejo Blanco",85000000,"6.7"
"Smoke Sauna Sisterhood",85000000,"7.1"
"Ode to Joy",85000000,"6.4"
"The Tale of King Crab",85000000,"6.7"
"The Strange Little Cat",85000000,"6.6"
"Tikkun",85000,"6.4"
"The Great Flood",85000,"6.9"
"Pop Aye",84500000,"6.6"
"Autumn",84000000,"6"
"Refusenik",84000000,"8.1"
"Elite Squad",84000000,"8"
