"title","budget_usd","rating"
"Black Irish",50000000,"6.9"
"The Farthest",50000000,"8.1"
"Front Cover",50000000,"6.5"
"Sarah Palin: You Betcha!",50000000,"6.3"
"Chalk",50000000,"6.1"
"Virginia",50000000,"5.4"
"Ceremony",50000000,"5.4"
"You, the Living",50000000,"7.4"
"Evolution",50000000,"5.9"
"Catching Fire: The Story of Anita Pallenberg",50000000,"7.1"
"Hell House",50000000,"6.8"
"Side by Side",50000000,"7.6"
"Creative Control",50000000,"5.4"
"The Cry",50000000,"2.7"
"Purple Butterfly",50000000,"6.1"
"Desert Bayou",50000000,"6.4"
"Stardom",50000000,"5.6"
"I Am Lisa",50000000,"4"
"Martin & Orloff",50000000,"6.5"
"Karaoke",50000000,"7.4"
"Framing John DeLorean",50000,"6.5"
"Save Me",50000,"6.7"
"Deep Gold",50000,"3.2"
"Corman's World: Exploits of a Hollywood Rebel",50000,"7.6"
"Stand Clear of the Closing Doors",50000,"6.3"
"Boulevard",50000,"5.8"
"Too Late",50000,"6.7"
"Where Is Kyra?",50000,"5.5"
"Black Box Diaries",50000,"7.5"
"Bill Nye: Science Guy",50000,"6.8"
"A Master Builder",50000,"5.9"
"October Country",50000,"6.8"
"Cowards Bend the Knee",50000,"6.9"
"Air Guitar Nation",50000,"7.1"
"And Everything Is Going Fine",50000,"7.1"
"Bobbi Jene",50000,"6.3"
"Bliss",50000,"7.5"
"Lost Angels: Skid Row Is My Home",50000,"7.5"
"Under Our Skin",50000,"7.7"
"September 11",50000,"6.8"
"Never Been Thawed",5800000,"5.7"
"Two Tickets to Greece",5740000,"6.1"
"October",5600000,"6.4"
"The Order of Myths",5600000,"6.9"
"Spa Night",5500000,"6.1"
"Taking Venice",5500000,"7.2"
"Zizek!",5500000,"7.3"
"3 Faces",5500000,"7"
"Reality",5500000,"6.8"
"Tomboy",5500000,"7.4"
"Made in England: The Films of Powell and Pressburger",5500000,"7.9"
"Jazz Fest: A New Orleans Story",5400000,"7.2"
"Eli",5400000,"4.5"
"The Motel",5400000,"6.6"
"Ghosts of Cité Soleil",5400000,"6.9"
"The Broken Circle Breakdown",5300000,"7.7"
"Sound and Fury",5300000,"7.8"
"Jamel Shabazz Street Photographer",5300000,"7.2"
"An Adolescent",5300000,"6.4"
"The Great Buster",5250000,"7.5"
"Loïe Fuller: Obsessed with Light",5250000,"7.8"
"June Zero",5200000,"6.5"
"The Black Dove",5100000,"5.7"
"Happy, Happy",5100000,"6.5"
"Moonlight",5000000,"6"
"Magician: The Astonishing Life and Work of Orson Welles",5000000,"6.9"
"For Prophet",5000000,"5.4"
"The Claim",5000000,"6.3"
"Big Man Japan",5000000,"6.2"
"Logan",5000000,"5.9"
"Buster's Mal Heart",5000000,"6.1"
"Carnages",5000000,"6.1"
"Dancer",5000000,"7.8"
"As I Lay Dying",5000000,"5.4"
"What Happened Last Night",5000000,"3.5"
"The Way We Get By",5000000,"7.4"
"Do Not Resist",5000000,"7"
"Love, Antosha",5000000,"8.1"
"Tales of the Night",5000000,"6.9"
"Draupadi Unleashed",5000000,"4.8"
"Shiva Baby",5000000,"7.1"
"The Discoverers",5000000,"5.6"
"Antonio Lopez 1970: Sex Fashion & Disco",5000000,"6.9"
"The Animal Kingdom",5000000,"6.7"
"Local Color",5000000,"6.8"
"The Situation",5000000,"6.3"
"The Front Line",5000000,"7.3"
"Jimmy P: Psychotherapy of a Plains Indian",5000000,"6.1"
"Between Two Worlds",5000000,"6.9"
"Golden Years",5000000,"6.5"
"Heartbeats",5000000,"7"
"Alive Inside: A Story of Music and Memory",5000000,"8.2"
"Salvation Boulevard",5000000,"5.3"
"Tall: The American Skyscraper and Louis Sullivan",5000000,"7"
"Pele: Birth of a Legend",5000000,"7.1"
"The Retrieval",5000000,"6.6"
"Henri Cartier-Bresson: The Impassioned Eye",5000000,"7.3"
"Syrian Bride",5000000,"7.4"
"Just a Kiss",5000000,"4.9"
"Lucha Mexico",5000000,"6.8"
"House of Fools",5000000,"7"
"Until the Light Takes Us",5000000,"7"
"Pulse",5000000,"6.5"
"Papi Chulo",5000000,"6.6"
"Stake Land",5000000,"6.4"
"R100",5000000,"5.9"
"Nobody Walks",5000000,"5.3"
"Over Your Cities Grass Will Grow",5000000,"7"
"Tideland",5000000,"6.3"
"Throw Down Your Heart",5000000,"7.8"
"Bitterbrush",5000000,"7.1"
"American Dharma",5000000,"7"
"Rising from Ashes",5000000,"7.5"
"Storm Surfers 3D",5000000,"6.4"
"God Loves Uganda",5000000,"7.4"
"A Resurrection",5000000,"3.9"
"S21: The Khmer Rouge Killing Machine",5000000,"7.2"
"Green Border",5000000,"6.4"
"Incendiary",5000000,"7.2"
"The Keeper: The Legend of Omar Khayyam",5000000,"6"
"The Melt Goes on Forever: The Art & Times of David Hammons",5000000,"8"
"A Faithful Man",5000000,"6.2"
"Peter and Vandy",5000000,"6.3"
"We Live in Public",5000000,"7.1"
"That Evening Sun",5000000,"7"
"Tumbledown",5000000,"6.2"
"Ghost Team One",5000000,"4.2"
"Mandibles",5000000,"6.6"
"Blue Jean",5000000,"7"
"The Dry Land",5000000,"5.6"
"Family Fundamentals",5000000,"6.5"
"Down to the Bone",5000000,"6.6"
"The In-Law Gang!",5000000,"5.2"
"Intacto",5000000,"6.8"
"The Lure",5000000,"6.2"
"Dreaming Walls: Inside the Chelsea Hotel",5000000,"6.1"
"Big Words",5000000,"6.2"
"Kabluey",5000000,"6.5"
"36 Saints",5000000,"2.7"
"Scarlet",5000000,"6.6"
"Policeman",5000000,"6.3"
"Night at the Golden Eagle",5000000,"5.7"
"Sightseers",5000000,"6.5"
"Out Come the Wolves",5000000,"4.7"
"Quid Pro Quo",5000000,"6.1"
"Km. 0",5000000,"7"
"Milford Graves Full Mantis",5000000,"7.3"
"Dysfunctional Friends",5000000,"4.9"
"Brainwashed: Sex-Camera-Power",5000000,"6.2"
"Sobibór, October 14, 1943, 4 p.m.",5000000,"7.4"
"Under the Skin of the City",5000000,"7.2"
"For the Bible Tells Me So",5000000,"7.8"
"Chained for Life",5000000,"6.5"
"Breakup Season",5000000,"5.8"
"Water Lilies",5000000,"6.7"
"Trust Machine: The Story of Blockchain",5000000,"6.7"
"Guys and Balls",5000000,"6.7"
"On Broadway",5000000,"7.2"
"Asbury Park: Riot, Redemption, Rock & Roll",5000000,"6.9"
"Meet Monica Velour",5000000,"5.8"
"The Old Oak",5000000,"7.1"
"Sauvage / Wild",5000000,"7.1"
"Hunky Dory",5000000,"6.2"
"Bird People",5000000,"6.1"
"So B. It",5000000,"6.9"
"Journey to the West: Conquering the Demons",5000000,"6.7"
"Handling the Undead",5000000,"5.4"
"Watchers of the Sky",5000000,"7.3"
"The Emperor's New Clothes",5000000,"6.8"
"In Over My Head",5000000,"5"
"The Guardians",5000000,"6.7"
"How I Killed My Father",5000000,"6.9"
"Jonestown: The Life and Death of Peoples Temple",5000000,"7.8"
"Standing Tall",5000000,"6.9"
"The Best of Youth",5000000,"8.5"
"Lucky Break",5000000,"6.2"
"Seeking Mavis Beacon",5000000,"5.8"
"The Strange Case of Angelica",5000000,"6.3"
"The Lost Arcade",5000000,"6.5"
"Mau",5000000,"7.4"
"Orlando: My Political Biography",5000000,"7"
"Amelia's Children",5000000,"5.2"
"Bounce: Behind the Velvet Rope",5000000,"6.4"
"The Perfect Host",5000000,"6.7"
"Springtime in a Small Town",5000000,"6.9"
"Chef Flynn",5000000,"6.7"
"That Man: Peter Berlin",5000000,"7"
"Making the Boys",5000000,"7.3"
"Milwaukee, Minnesota",5000000,"6.1"
"Who Gets to Call It Art?",5000000,"6.9"
"Happy Christmas",5000000,"5.4"
"Margaret",5000000,"6.5"
"Five Seasons: The Gardens of Piet Oudolf",5000000,"7.8"
"I Was a Simple Man",5000000,"6"
"Filth",5000000,"7"
"We Are X",5000000,"7.5"
"The Vourdalak",5000000,"6.4"
"Barbarians",5000000,"4.7"
"Big Men",5000000,"7.2"
"The War Within",5000000,"6.8"
"Sir! No Sir!",5000000,"7.6"
"Bomb the System",5000000,"6.3"
"AKA",5000000,"6.3"
"Reeseville",5000000,"5"
"Area 51",5000000,"4.3"
"Word Wars",5000000,"6.9"
"Time of the Wolf",5000000,"6.4"
"The Rising Place",5000000,"6.3"
"History of Jazz: Oxygen for the Ears",5000000,"8.1"
"The Captain",5000000,"7.3"
"In My Skin",5000000,"6.2"
"The Duelist",5000000,"6.3"
"Cook County",5000000,"6.7"
"Lan Yu",5000000,"7.2"
"Luster",5000000,"5.3"
"Breakdance Academy",5000000,"6.9"
"Ennio",5000000,"8.2"
"Almost Salinas",5000000,"6.2"
"On the Beach at Night Alone",5000000,"6.8"
"Hellion",5000000,"6"
"Last Stop for Paul",5000000,"6.3"
"Close to You",5000000,"6.7"
"The Power of Few",5000000,"5.1"
"The Farewell Party",5000000,"7"
"Dead Man's Burden",5000000,"5.5"
"Cape of Good Hope",5000000,"6.8"
"Manic",5000000,"7.1"
"Meet the Fokkens",5000000,"6.6"
"Wasabi Tuna",5000000,"3.2"
"After Midnight",5000000,"6.8"
"Tyrannosaur",5000000,"7.5"
"Rite of the Shaman",5000000,"4.2"
"Sugarcane",5000000,"7"
"What the #$*! Do We (K)now!?",5000000,"5.2"
"Desert Flower",5000000,"7.3"
"American Meat",5000000,"8"
"Who Took Johnny",5000000,"7.1"
"Girlhood",5000000,"6.9"
"Alamar",5000000,"7.2"
"Mancora",5000000,"6.4"
"Revoir Paris",5000000,"6.9"
"Guest of Cindy Sherman",5000000,"6.5"
"Severed Ways: The Norse Discovery of America",5000000,"4.3"
"The Quiet One",5000000,"7.2"
"The Happys",5000000,"5.6"
"The Paris Opera",5000000,"7"
"Rogue",5000000,"6.2"
"Letters to Elena",5000000,"6.1"
"Meeting Resistance",5000000,"7.7"
"Going Away",5000000,"6.3"
"A Walk to Beautiful",5000000,"8.1"
"The Pleasure of Being Robbed",5000000,"6.1"
"Watermark",5000000,"6.9"
"The Pool",5000000,"7.2"
"The Burial Society",5000000,"6.1"
"And While We Were Here",5000000,"5.7"
"Huda's Salon",5000000,"6.3"
"This Must Be the Place",5000000,"6.7"
"Another Body",5000000,"6.4"
"Midas",5000000,"4.6"
"Daltry Calhoun",5000000,"5.1"
"On the Outs",5000000,"6.7"
"By the Grace of God",5000000,"7.2"
"Yella",5000000,"6.7"
"Favela Rising",5000000,"7"
"Frankie & Alice",5000000,"6.4"
"Cemetery of Splendor",5000000,"6.8"
"Camp",5000,"6.8"
"Adverse",495000,"4.2"
"The Seagull's Laughter",49900000,"6.7"
"Rat Film",49000000,"6.9"
"Somewhere Between",49000000,"7.8"
"Collapse",49000000,"7.7"
"Girls of the Sun",49000000,"6.5"
"Phantom Detective",49000000,"6.3"
"The Scary of Sixty-First",485000,"4.5"
"Jim",480000,"5.5"
"Zoo",480000,"5.5"
"The Devil and Father Amorth",48917499,"4.6"
"Budrus",48000000,"7.8"
"Holding Trevor",48000000,"5.4"
"Schizo",48000000,"7"
"Amelia 2.0",48000000,"5.3"
"Ali & Ava",48000000,"6.7"
"Mystery Team",48000000,"6.6"
"The King's Choice",48000000,"7.1"
"The Boss of It All",48000000,"6.6"
"The Song of Sparrows",48000000,"7.9"
"Rigor Mortis",48000000,"6.3"
"The Silence of Others",48000000,"8"
"Paper Dolls",48000000,"7.4"
"Brotherhood",48000000,"6.3"
"What to Do in Case of Fire",48000000,"6.7"
"James' Journey to Jerusalem",475000,"7.4"
"The Turandot Project",47000000,"7.4"
"John McEnroe: In the Realm of Perfection",47000000,"6.7"
"Follow Me: The Yoni Netanyahu Story",47000000,"6.9"
"Nothing Left to Fear",47000000,"4.4"
"Carville: Winning Is Everything, Stupid",47000000,"7.2"
"Subject",47000000,"7.1"
"Rosenwald",460000,"8.1"
"Valhalla Rising",46000000,"6"
"American Mustang",46000000,"7.1"
"Zuotian",46000000,"7.1"
"Both Eyes Open",46000000,"8.1"
"The Interrupters",46000000,"7.5"
"Billy the Kid",46000000,"7.2"
"Radical Wolfe",46000000,"7.2"
"Here",46000000,"5.8"
"Gloria",46000,"6.7"
"La confusion des genres",456000,"6.3"
"Ain't in It for My Health: A Film About Levon Helm",450000,"7.1"
"Rabin, the Last Day",450000,"6.1"
"Shed Skin Papa",450000,"6.1"
"Tears of the Black Tiger",450000,"6.9"
"Crazy Horse",450000,"6.5"
"Till Human Voices Wake Us",450000,"6.3"
"Our Brand Is Crisis",450000,"6.9"
"Charlie Countryman",450000,"6.3"
"Donald Cried",450000,"6.6"
"Off and Running",45000000,"6.4"
"Andre Gregory: Before and After Dinner",45000000,"6.5"
"Filmworker",45000000,"7.4"
"The Silence",45000000,"6.9"
"Catch the Fair One",45000000,"6.3"
"Pipe Dream",45000000,"6"
"Looking for an Echo",45000000,"6.5"
"Scorched",45000000,"5.9"
"The Dust Factory",45000000,"5.8"
"Teenage",45000000,"6.5"
"Bombshell: The Hedy Lamarr Story",45000000,"7.4"
"Cachorro",45000000,"7.1"
"The Death of Louis XIV",45000000,"6.8"
"This Thing of Ours",45000000,"5.1"
"The Devil's Violinist",45000000,"6"
"Ridge Runners",45000000,"4.1"
"She Is the Ocean",45000000,"7.7"
"Occupation: Dreamland",45000000,"7.2"
"Nasty Baby",45000000,"5.7"
"Buzzard",45000000,"6.3"
"Before the Fall",45000000,"7.4"
"April Showers",45000000,"5.6"
"Jerichow",45000000,"7"
"Saving Marriage",45000000,"6.7"
"The Public Image is Rotten",45000000,"7.2"
"The Big Gay Musical",45000000,"6.5"
"Yakuza Princess",45000000,"4.8"
"Little Bites",45000000,"4.6"
"When the Sea Rises",45000000,"6.7"
"Three Minutes: A Lengthening",45000000,"7.3"
"Happy Clothes: A Film About Patricia Field",45000000,"7.6"
"Darwin's Nightmare",45000000,"7.4"
"White on Rice",45000000,"6.1"
"Score",45000000,"7.5"
"The Last Winter",45000000,"5.5"
"August",45000000,"5.3"
"Restless City",45000000,"5.9"
"Dark Money",45000000,"7.1"
"24 Frames",45000000,"6.8"
"Army of Crime",45000000,"6.7"
"Murder Eleven",45000000,"3.7"
"Ernest and Celestine: A Trip to Gibberitia",45000000,"7"
"Invisible Life",45000000,"7.7"
"Let Yourself Go",45000000,"6"
"Just Before I Go",45000000,"6.3"
"What Our Fathers Did: A Nazi Legacy",45000000,"7.1"
"Clandestine Childhood",45000000,"7"
"Inside the Rain",45000000,"4.6"
"Paul Taylor: Creative Domain",45000000,"8"
"306 Hollywood",45000000,"6.9"
"Woodstock: Three Days That Defined a Generation",45000000,"7.6"
"The Five Devils",45000000,"6.7"
"Pressure Cooker",45000000,"7.5"
"The Dark Horse",45000000,"7.4"
"Tickling Giants",45000000,"8.2"
"Brothers",45000000,"7.5"
"Night Call",45000000,"6.8"
"Zombeavers",45000000,"4.8"
"Learning to Live Together: The Return of Mad Dogs & Englishmen",45000000,"7.5"
"The Prophet's Son",45000000,"5.3"
"Dishkiyaoon",45000000,"5.2"
"All That Breathes",45000000,"7"
"The Nile Hilton Incident",45000000,"6.8"
"The Laws of the Universe: The Age of Elohim",45000000,"5.4"
"Manolo: The Boy Who Made Shoes for Lizards",45000000,"6.4"
"Advocate",45000000,"7.2"
"[Rec]²",45000,"6.5"
"Jesus Henry Christ",44500000,"6.4"
"Painted Fire",44000000,"7.1"
"Lower City",44000000,"6.5"
"Comic-Con Episode IV: A Fan's Hope",44000000,"7"
"Our Music",44000000,"6.8"
"The Settlers",44000000,"6.9"
"It Felt Like Love",430000,"5.8"
"Recorder: The Marion Stokes Project",43000000,"7"
"Hava Nagila",43000000,"6.4"
"When I'm Ready",43000000,"8"
"Dear Wendy",43000000,"6.5"
"The Line",43000000,"6.1"
"Pray the Devil Back to Hell",43000000,"7.5"
"The Untold Story of Emmett Louis Till",43000000,"7.7"
"Jane",43000000,"4.9"
"Been Rich All My Life",43000000,"8.4"
"I Am Not a Witch",43000000,"6.9"
"Borderline",43000000,"5.3"
"Loren & Rose",43000000,"7.5"
"The Sensation of Sight",43000000,"6.3"
"Oh My God",425000,"6.1"
"On Broadway",425000,"5.8"
"Bhutto",420000,"7.6"
"The Seventh Fire",420000,"6"
"The Girl from Paris",42000000,"6.6"
"Lou Reed: Berlin",42000000,"7.3"
"Letter from Masanjia",42000000,"7.9"
"La Syndicaliste",42000000,"6.6"
"Storm",42000000,"6.9"
"Maze",42000000,"5.9"
"Concussion",42000000,"5.6"
"Jauja",42000000,"6.3"
"Severance",42000000,"6.4"
"Vermiglio",42000000,"6.9"
"Daddy Longlegs",42000000,"6.9"
"Videocracy",42000000,"6.5"
"Natasha",42000000,"6.2"
"No Tears for the Dead",42000000,"6.7"
"Milarepa",42000000,"7"
"Zindaggi Rocks",42000000,"4.9"
"Bring Your Own Brigade",42000000,"7.2"
"Dark Star: HR Gigers Welt",42000000,"6.9"
"Maybe Baby",42000000,"5.6"
"4:44 Last Day on Earth",42000000,"4.6"
"Ingrid Bergman: In Her Own Words",42000,"7.4"
"Jasmine",42000,"5.7"
"Pasolini",414900000,"5.9"
"Summer in the Forest",412000,"7.8"
"Bluebeard",41300000,"6.3"
"Before We Vanish",41000000,"6.2"
"Supercapitalist",41000000,"4.4"
"Deep Blue",41000000,"7.4"
"The Homestretch",400000,"6.7"
"Christmas at Maxwell's",400000,"4.4"
"A Man Named Pearl",400000,"7.9"
"Blood of My Blood",400000,"6.8"
"Praying with Lior",400000,"7.6"
"Colma: The Musical",400000,"6.4"
"Circus",400000,"5.5"
"Born to Fly: Elizabeth Streb vs. Gravity",400000,"6.7"
"The Rose Maker",400000,"6.4"
"Descent",400000,"4.7"
"Mad God",400000,"6.8"
"The Monk",400000,"5.8"
"Peter Pan's Neverland Nightmare",400000,"5.9"
"Our Ladies",400000,"6.7"
"Harvard Man",400000,"4.8"
"Breath Made Visible: Anna Halprin",400000,"7.2"
"This So-Called Disaster",400000,"6.3"
"Touch the Sound: A Sound Journey with Evelyn Glennie",400000,"7.2"
"Girl Play",40600000,"4.5"
"The King's Case Note",40500000,"6.4"
"Another Happy Day",40000000,"6"
"Chop Shop",40000000,"7.2"
"Born Romantic",40000000,"6.4"
"Amu",40000000,"7.3"
"Pretty Problems",40000000,"5.6"
"To Dust",40000000,"6"
"Dealin' with Idiots",40000000,"5.4"
"Diplomacy",40000000,"7.1"
"Undead",40000000,"5.3"
"If I Didn't Care",40000000,"4.7"
"Neptune Frost",40000000,"6.5"
"The Human Resources Manager",40000000,"6.6"
"Give Me Pity!",40000000,"5.8"
"The Education of Charlie Banks",40000000,"6.5"
"The Hottest State",40000000,"6"
"The Battle of Jangsari",40000000,"6.2"
"Lakota Nation vs. United States",40000000,"7.8"
"120 BPM",40000000,"7.4"
"The Kind Words",40000000,"6.9"
"Un couple épatant",40000000,"6.4"
"Ballast",40000000,"6.9"
"The Twilight Samurai",40000000,"8.1"
"Gotta Dance",40000000,"7.6"
"Lousy Carter",40000000,"6"
"Screwball",40000000,"7.2"
"Black '47",40000000,"6.8"
"Paper Man",40000000,"6.5"
"Free Zone",40000000,"5.7"
"Tulpan",40000000,"7.1"
"30 Beats",40000000,"4"
"Bus 174",40000000,"7.8"
"The Take",40000000,"7.6"
"Death of the Virgin",40000000,"3.3"
"I Declare War",40000000,"6"
"Hitler's Hollywood",40000000,"6.8"
"Baghead",40000000,"6"
"Hale County This Morning, This Evening",40000000,"6.4"
"Elite Squad 2: The Enemy Within",40000000,"8"
"Little Accidents",40000000,"5.8"
"Red Hill",40000000,"6.3"
"Cavale",40000000,"6.9"
"The Principle",40000000,"4.4"
"Giuliani Time",40000000,"6.9"
"Araby",40000000,"7.3"
"Jim Allison: Breakthrough",40000000,"7.6"
"Experimenter",40000000,"6.6"
"Falcon Rising",40000000,"5.8"
"Big Ain't Bad",40000000,"5.6"
"Intent to Destroy: Death, Denial & Depiction",40000000,"7.2"
"The Myth of the American Sleepover",40000000,"6.3"
"Dark Matter",40000000,"6"
"Calle 54",40000000,"7.4"
"The Code",40000000,"5.4"
"Powerbomb",40000000,"3.8"
"Beautiful Boxer",40000000,"7.1"
"War Witch",40000000,"7"
"Tap World",40000000,"7.3"
"Summer Palace",40000000,"7.2"
"The Future of Food",40000000,"7.7"
"Henry's Crime",40000000,"5.9"
"Desperate Souls, Dark City and the Legend of Midnight Cowboy",40000000,"7"
"How to Cook Your Life",40000000,"5.9"
"Piercing",40000000,"5.5"
"Finding Joe",40000000,"7"
"The Ghosts in Our Machine",40000000,"7.9"
"Money Fight",40000000,"3.9"
"Separated",40000000,"6.6"
"Vanaja",40000000,"7.2"
"Texas Killing Fields",40000000,"5.7"
"Orgasm Inc.",40000000,"5.9"
"Ilo Ilo",40000000,"7.2"
"Happenstance",40000000,"6.7"
"Love Etc.",40000000,"5.8"
"The Ninth Day",40000000,"7"
"Crime + Punishment",40000000,"7.4"
"Off the Rails",40000000,"7.2"
"Edie",40000000,"6.6"
"Friends and Family",40000000,"6.3"
"About Endlessness",40000000,"6.8"
"Kiss the Bride",40000000,"5.6"
"Home Run Showdown",40000000,"4.9"
"ShowBusiness: The Road to Broadway",40000000,"7.8"
"Dead Awake",40000000,"4.6"
"Being 17",40000000,"7.2"
"No One Knows About Persian Cats",40000000,"7.1"
"Stuck",40000000,"6.5"
"Uproar",40000000,"6.6"
"Alone in Berlin",40000000,"6.5"
"Islander",40000000,"6.4"
"Tale of Tales",40000000,"6.4"
"Ma ma",40000000,"6.4"
"Live Free or Die",40000000,"5.4"
"Paulette",40000000,"6.6"
"First Date",40000000,"5.4"
"She Will",40000000,"5.5"
"Sirens",40000000,"6.7"
"Mama Weed",40000000,"6.3"
"Sweet Country",40000000,"6.9"
"Last Call at the Oasis",40000000,"7.4"
"Teza",40000000,"7.1"
"The Eyes of My Mother",40000000,"6.2"
"Waiting for Forever",40000000,"5.9"
"Don McKay",40000000,"5.8"
"The King",40000000,"6.6"
"Close to Vermeer",40000000,"7.3"
"A Kid Like Jake",40000000,"5.6"
"The Five Obstructions",40000000,"7.4"
"10.000 Km",40000000,"6.6"
"Lux Æterna",40000000,"6.2"
"Wuthering Heights",40000000,"6"
"The Trial",40000000,"5.6"
"Amanda",40000000,"6.5"
"Seoul Searching",40000000,"6.9"
"The Delinquents",40000000,"6.8"
"Fellini: I'm a Born Liar",40000000,"7"
"Sunshine Superman",40000000,"6.9"
"Station to Station",40000000,"6.2"
"La faute à Fidel!",40000000,"7.5"
"Unraveled",40000000,"6.4"
"2012: Time for Change",40000000,"6.9"
"Fascination",40000000,"3.8"
"The Last Sentence",40000000,"6.2"
"The World Unseen",40000000,"6.6"
"Elena",40000000,"7.3"
"The Bridesmaid",40000000,"6.7"
"Happy Valley",40000000,"7"
"Truman & Tennessee: An Intimate Conversation",40000000,"7.2"
"Garry Winogrand: All Things are Photographable",40000000,"7.4"
"Five Nights in Maine",40000000,"4.8"
"The Endless",40000000,"6.5"
"Beuys",40000000,"6.8"
"Musical Chairs",40000000,"5.9"
"Visitors",40000000,"6.3"
"A War",40000000,"7"
"Be Here to Love Me",40000000,"7.8"
"Decoding Deepak",40000000,"5.6"
"Falcon Lake",40000000,"7"
"Ivans xtc.",40000000,"6.4"
"Explicit Ills",40000000,"5.5"
"An Everlasting Piece",40000000,"6.2"
"Manufactured Landscapes",40000000,"7.2"
"Beautiful Creatures",40000000,"5.8"
"Abuse of Weakness",40000000,"5.9"
"A Matter of Taste",40000000,"6.9"
"The Turin Horse",40000000,"7.7"
"The Moustache",40000000,"6.6"
"In Front of Your Face",40000000,"7"
"Mother Couch",40000000,"5.3"
"L'immensità",40000000,"6.4"
"One Last Thing...",40000000,"6.5"
"Crossing the Bridge: The Sound of Istanbul",40000000,"7.8"
"The Pervert's Guide to Ideology",40000000,"7.6"
"My Mother's Smile",40000000,"7"
"Theeb",40000000,"7.2"
"InSight",40000,"4.8"
"How to Make Money Selling Drugs",40000,"7.6"
"Equals",40000,"6"
"Sleeping Beauty",40000,"5.3"
"Im toten Winkel - Hitlers Sekretärin",40000,"7.3"
"High & Low - John Galliano",4900000,"7.1"
"You're Not You",4900000,"7.3"
"Blue Moon",4800000,"5.6"
"Wildflower",4800000,"5.3"
"Holy Hell",4800000,"7"
"Always at The Carlyle",4800000,"6.5"
"Herb & Dorothy",4770000,"7.6"
"Brother to Brother",4700000,"7.1"
"Iyengar: The Man, Yoga, and the Student's Journey",4700000,"7.2"
"The Commune",4600000,"6.4"
"Harlan: In the Shadow of Jew Suess",4600000,"6.9"
"Dare Not Walk Alone",4600000,"8.8"
"Limelight",4600000,"6.6"
"Illusion",4500000,"7.2"
"13 Sins",4500000,"6.3"
"À tous ceux qui ne me lisent pas",4500000,"6.9"
"In Bloom",4500000,"7.3"
"Rare Exports",4500000,"6.6"
"Mumia: Long Distance Revolutionary",4500000,"7.3"
"In My Sleep",4500000,"5.5"
"Olympic Dreams",4500000,"5.8"
"Vodka Lemon",4500000,"6.7"
"Greener Grass",4500000,"6.4"
"Jayne Mansfield's Car",4500000,"6.2"
"Mothering Sunday",4500000,"6.1"
"Last Passenger",4500000,"5.7"
"War Photographer",4500000,"7.9"
"Love, Cecil",4500000,"7.1"
"The Search for General Tso",4500000,"6.9"
"Looking for Maria Sanchez",4500000,"6.9"
"Pastor's Kid",4500000,"6.6"
"Squaring the Circle: The Story of Hipgnosis",4500000,"7.7"
"For Sama",4500000,"8.5"
"Caterina in the Big City",4500000,"6.8"
"American Gun",4500000,"6.1"
"Lake City",4500000,"5.7"
"Mio fratello è figlio unico",4500000,"7"
"Light of My Life",4500000,"6.6"
"Sixty Six",4340000,"6.7"
"The Patience Stone",4300000,"7.1"
"Spark: A Burning Man Story",4300000,"6.2"
"Mickey and the Bear",4250000,"6.6"
"American Star",4200000,"5.5"
"Vulgar",4200000,"5.2"
"Friday Night",4200000,"6.7"
"Stevie",4200000,"7.8"
"A Ballerina's Tale",4200000,"6.4"
"Summer of 85",4200000,"6.9"
"Once Upon a Time in Uganda",4000000,"7.2"
"Alexandra",4000000,"6.8"
"Skills Like This",4000000,"5.8"
"Fantastic Fungi",4000000,"7.4"
"Secret Things",4000000,"6"
"Our President",4000000,"7.5"
"The Hard Word",4000000,"6"
"P.S. Your Cat Is Dead!",4000000,"5.5"
"Zero Motivation",4000000,"7.2"
"Americanizing Shelley",4000000,"4.5"
"Sorry We Missed You",4000000,"7.6"
"Tennessee",4000000,"5.8"
"Power and Terror: Noam Chomsky in Our Times",4000000,"6.9"
"Sympathy for Delicious",4000000,"5.6"
"Through a Lens Darkly: Black Photographers and the Emergence of a People",4000000,"7.2"
"The Sasquatch Gang",4000000,"6.2"
"Trucker",4000000,"6.5"
"Cracks",4000000,"6.6"
"Story Ave",4000000,"6.1"
"Teknolust",4000000,"5.3"
"Owl and the Sparrow",4000000,"7.4"
"Tibet: Cry of the Snow Lion",4000000,"7.5"
"A Field in England",4000000,"6.2"
"Good",4000000,"6.2"
"Active Measures",4000000,"7.7"
"The Best Democracy Money Can Buy",4000000,"6.7"
"Compartment Number 6",4000000,"7.2"
"Runoff",4000000,"5.6"
"Splinter",4000000,"6.1"
"What Would Jesus Buy?",4000000,"6.3"
"13 Fanboy",4000000,"3.9"
"Saheb Biwi Aur Gangster",4000000,"7.1"
"Shayda",4000000,"6.7"
"Cat Person",4000000,"6"
"Oslo, August 31st",4000000,"7.6"
"Of Horses and Men",4000000,"6.8"
"The Business of Being Born",4000000,"7.3"
"35 Shots of Rum",4000000,"7.1"
"Dot the I",4000000,"6.7"
"Great Freedom",4000000,"7.5"
"Ferpect Crime",4000000,"7"
"Only Human",4000000,"6.8"
"Kumaré",4000000,"7.5"
"Elling",4000000,"7.5"
"Game 6",4000000,"5.7"
"Bloodworth",4000000,"6.1"
"May it Last: A Portrait of the Avett Brothers",4000000,"8.3"
"Manifesto",4000000,"6.5"
"Rich Hill",4000000,"7.2"
"Fabled",4000000,"5"
