Title,Year,Rating,Budget_usd,genres,awards_content
Gang of Ghosts,2014,3.6,73000000,"['Comedy', 'Horror']",
Shaan,2022,6.0,73000000,"['Action', 'Crime', 'Thriller']",
Film socialisme,2010,5.7,73000000,['Drama'],"Awards, 5 wins & 2 nominations total"
Mammoth,2009,6.8,725000,"['Psychological Drama', 'Drama', 'Romance']","Awards, 1 win & 4 nominations total"
Father and Son,2003,6.5,72500000,['Drama'],"Awards, 2 wins & 1 nomination total"
All These Sleepless Nights,2016,6.5,72000000,"['Documentary', 'Drama', 'Music']","Awards, 5 wins & 15 nominations total"
The Isle,2000,6.9,72000000,"['Drama', 'Thriller']","Awards, 6 wins & 7 nominations total"
The Tollbooth,2004,5.4,72000000,['Comedy'],"Awards, 2 wins & 1 nomination total"
Scarlet Diva,2000,5.0,72000000,['Drama'],"Awards, 2 wins total"
Claydream,2021,7.2,72000000,['Documentary'],
New York in the 50's,2000,6.1,72000,['Documentary'],
Shotgun Stories,2007,7.1,72000,"['Drama', 'Thriller']","Awards, 5 wins & 5 nominations total"
The Happy Sad,2013,5.4,700000,"['Drama', 'Romance']",
At the Gates,2022,6.6,700000,"['Drama', 'Mystery', 'Thriller']","Awards, 3 wins & 2 nominations total"
Siddharth,2013,7.4,700000,['Drama'],"Awards, 3 wins & 7 nominations total"
Assaulted: Civil Rights Under Fire,2013,7.0,700000,['Documentary'],
The Wild Goose Lake,2019,6.7,700000,"['Crime', 'Drama']","Awards, 20 wins & 36 nominations total"
Little Birds,2011,6.1,700000,['Drama'],"Awards, 2 wins & 2 nominations total"
The Plagiarists,2019,5.9,700000,"['Comedy', 'Drama']","Awards, 3 wins & 1 nomination total"
Virgin,2003,5.6,700000,['Drama'],"Awards, 4 wins & 4 nominations total"
Maria Stuarda at La Scala,2008,,700000,[],
Wonderful World,2009,6.0,700000,"['Comedy', 'Drama', 'Romance']",
"Lovely, Still",2008,7.1,700000,"['Drama', 'Romance']","Awards, 3 nominations total"
Newlyweds,2011,6.3,70000000,"['Comedy', 'Drama']",
Levitated Mass,2013,6.9,70000000,"['News', 'Biography', 'Documentary', 'History']",
Utama,2022,7.1,70000000,['Drama'],"Awards, 28 wins & 23 nominations total"
Surveillance,2008,6.3,70000000,"['Dark Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']","Awards, 3 wins & 5 nominations total"
A Letter to Momo,2011,7.2,70000000,"['Anime', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']","Awards, 3 wins & 7 nominations total"
Filth and Wisdom,2008,5.3,70000000,"['Comedy', 'Drama', 'Music', 'Romance']","Awards, 1 nomination total"
The Last King,2016,6.1,70000000,"['Costume Drama', 'Mountain Adventure', 'Period Drama', 'Sword & Sandal', 'Action', 'Drama', 'History', 'War']","Awards, 1 win & 1 nomination total"
The Aura,2005,7.1,70000000,"['Crime', 'Drama', 'Thriller']","Awards, 11 wins & 7 nominations total"
The Transfiguration,2016,6.1,70000000,"['Drama', 'Horror']","Awards, 1 win & 8 nominations total"
Young & Beautiful,2013,6.7,70000000,"['Drama', 'Romance']","Awards, 3 wins & 7 nominations total"
The Last Days on Mars,2013,5.5,70000000,"['B-Horror', 'Dark Comedy', 'Space Sci-Fi', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']","Awards, 4 nominations total"
Vitalina Varela,2019,6.7,70000000,['Drama'],"Awards, 24 wins & 31 nominations total"
Roman Polanski: Wanted and Desired,2008,7.2,70000000,"['Crime', 'Documentary']","Won 2 Primetime Emmys, 5 wins & 13 nominations total"
For Ellen,2012,6.0,70000000,['Drama'],"Awards, 1 win & 3 nominations total"
The Trouble with Bliss,2011,5.3,70000000,"['Comedy', 'Drama']","Awards, 1 win total"
Millennium Mambo,2001,7.0,70000000,"['Drama', 'Romance']","Awards, 6 wins & 9 nominations total"
Strange Powers: Stephin Merritt and the Magnetic Fields,2010,7.2,70000000,"['Documentary', 'Music']","Awards, 2 nominations total"
The Ruins of Lifta,2016,6.9,70000000,"['Biography', 'Documentary', 'Drama', 'History']",
The Rocket,2013,7.3,70000000,['Drama'],"Awards, 28 wins & 31 nominations total"
Hundreds of Beavers,2022,7.6,70000000,"['Dark Comedy', 'Slapstick', 'Action', 'Adventure', 'Comedy']","Awards, 22 wins & 21 nominations total"
Time,2007,4.3,70000000,"['Action', 'Crime', 'Thriller']",
Sweet Bean,2015,7.4,70000000,['Drama'],"Awards, 7 wins & 8 nominations total"
Corpus Christi,2019,7.7,70000000,['Drama'],"Nominated for 1 Oscar, 56 wins & 41 nominations total"
Machuca,2004,7.7,70000000,"['Biography', 'Drama', 'History']","Awards, 13 wins & 7 nominations total"
The Autobiography of Nicolae Ceausescu,2010,7.5,70000000,"['Biography', 'Documentary', 'History']","Awards, 9 wins & 7 nominations total"
Neshoba,2008,7.7,70000000,['Documentary'],"Awards, 11 wins & 1 nomination total"
La petite Jérusalem,2005,6.5,70000000,['Drama'],"Awards, 8 wins & 4 nominations total"
Double Take,2009,6.1,70000000,['Documentary'],"Awards, 2 wins & 1 nomination total"
The Salvation,2014,6.7,70000000,"['Action', 'Drama', 'Thriller', 'Western']","Awards, 1 win & 8 nominations total"
My Big Fat Independent Movie,2005,3.2,70000000,"['Parody', 'Comedy']","Awards, 2 wins total"
No Ordinary Love,2019,4.5,70000000,"['Romance', 'Thriller']","Awards, 12 wins & 5 nominations total"
Prisoners of Fire,2025,10.0,70000000,['Documentary'],"Awards, 1 win total"
Crazy Like a Fox,2004,5.4,70000000,"['Comedy', 'Drama']","Awards, 1 win total"
Three Dancing Slaves,2004,6.3,70000000,"['Drama', 'Romance']","Awards, 1 win total"
Behind the Sun,2001,7.6,70000000,['Drama'],"Nominated for 1 BAFTA Award, 9 wins & 22 nominations total"
Stray,2020,6.9,70000000,['Documentary'],"Awards, 2 wins & 10 nominations total"
Post Tenebras Lux,2012,6.5,70000000,['Drama'],"Awards, 6 wins & 7 nominations total"
Rocks in My Pockets,2014,7.4,70000000,"['Stop Motion Animation', 'Animation', 'Comedy', 'Drama']","Awards, 7 wins & 6 nominations total"
World's Greatest Dad,2009,6.9,70000000,"['Dark Comedy', 'Satire', 'Comedy', 'Drama']","Awards, 1 nomination total"
A Skin Too Few: The Days of Nick Drake,2002,7.5,70000000,"['Biography', 'Documentary']","Awards, 1 nomination total"
A Teacher,2013,4.8,70000000,"['Drama', 'Romance']","Awards, 2 wins & 5 nominations total"
Bert Stern: Original Madman,2011,6.6,70000000,['Documentary'],"Awards, 3 nominations total"
Day by Day: The Dynasty,2023,9.7,70000000,['Documentary'],
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,7.6,70000000,"['Documentary', 'History']","Awards, 1 win & 2 nominations total"
Imaginary Heroes,2004,7.0,70000000,"['Dark Comedy', 'Drama']","Awards, 1 win & 2 nominations total"
Bronx Gothic,2017,6.6,70000000,['Documentary'],
Iceman,2014,4.8,70000000,"['Superhero', 'Action', 'Comedy', 'Fantasy', 'Sci-Fi']","Awards, 1 win total"
And Then Came Love,2007,4.7,70000000,"['Comedy', 'Romance']",
Light from Light,2019,5.9,70000000,['Drama'],"Awards, 1 win & 6 nominations total"
The Pruitt-Igoe Myth,2011,7.5,70000000,['Documentary'],"Awards, 2 wins & 2 nominations total"
Mutant Chronicles,2008,5.2,70000000,"['Steampunk', 'Action', 'Adventure', 'Mystery', 'Sci-Fi']",
Coyote County Loser,2009,6.2,70000000,"['Comedy', 'Drama', 'Romance']",
Defamation,2009,7.4,70000000,['Documentary'],"Awards, 6 wins & 7 nominations total"
The Dogwalker,2002,6.1,70000000,['Drama'],"Awards, 3 wins total"
Knife + Heart,2018,6.2,70000000,"['Slasher Horror', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']","Awards, 8 wins & 23 nominations total"
Bir Zamanlar Gelecek: 2121,2022,5.7,70000000,"['Drama', 'Sci-Fi']","Awards, 11 wins & 12 nominations total"
Final Frequency,2021,3.0,70000000,"['Action', 'Drama', 'Sci-Fi', 'Thriller']","Awards, 1 win total"
Bord de mer,2002,5.6,70000000,['Drama'],"Awards, 1 win total"
War of the Buttons,2011,6.2,70000000,"['Coming-of-Age', 'Adventure', 'Family']","Awards, 1 win & 1 nomination total"
Donkey Punch,2008,5.2,70000000,"['Crime', 'Drama', 'Horror', 'Thriller']","Awards, 5 nominations total"
Starring Jerry as Himself,2023,7.3,70000000,"['Biography', 'Crime', 'Documentary', 'Thriller']","Awards, 6 wins & 2 nominations total"
My Son,2017,5.8,70000,"['Drama', 'Thriller']",
The Calling,2002,4.6,70000,"['Biography', 'Drama']",
What Do We See When We Look at the Sky?,2021,6.8,70000,"['Body Swap Comedy', 'Comedy', 'Drama', 'Romance']","Awards, 12 wins & 25 nominations total"
The Adventurer: The Curse of the Midas Box,2013,5.5,7980000,"['Globetrotting Adventure', 'Adventure', 'Family', 'Fantasy']",
The Last Circus,2010,6.5,7900000,"['Body Horror', 'Dark Comedy', 'Comedy', 'Drama', 'Horror', 'War']","Awards, 11 wins & 21 nominations total"
Tre,2006,4.7,7800000,"['Drama', 'Romance']","Awards, 1 win total"
Superstar in a Housedress,2004,7.6,7700000,"['Biography', 'Comedy', 'Documentary', 'History']",
Woman Is the Future of Man,2004,6.4,7700000,['Drama'],"Awards, 2 nominations total"
House of Tolerance,2011,6.7,7600000,['Drama'],"Awards, 6 wins & 15 nominations total"
10 Days in a Madhouse,2015,5.6,7500000,"['Drama', 'History']",
The Good the Bad the Weird,2008,7.2,7500000,"['Parody', 'Action', 'Adventure', 'Comedy', 'Western']","Awards, 12 wins & 27 nominations total"
American Cannibal,2006,5.0,7500000,['Documentary'],"Awards, 1 nomination total"
Dracula: Pages from a Virgin's Diary,2002,6.8,7500000,"['Drama', 'Horror', 'Musical']","Awards, 4 wins & 2 nominations total"
The Grace of Jake,2015,6.0,7500000,"['Comedy', 'Drama', 'Music']","Awards, 1 win total"
Trying to Get Good: The Jazz Odyssey of Jack Sheldon,2008,8.1,7500000,"['Biography', 'Documentary', 'Music']","Awards, 4 wins total"
Gayby,2012,6.0,7500000,"['Comedy', 'Drama', 'Romance']","Awards, 4 wins & 4 nominations total"
Smash & Grab: The Story of the Pink Panthers,2013,6.0,7500000,"['Crime', 'Documentary', 'History', 'Thriller']","Awards, 1 win total"
Harry Benson: Shoot First,2016,7.4,7500000,['Documentary'],
50 Ways of Saying Fabulous,2005,5.8,7500000,['Drama'],"Awards, 1 win & 1 nomination total"
East of Havana,2006,6.6,7500000,['Documentary'],"Awards, 1 nomination total"
Lucy and Whitney,2022,,7500000,"['Comedy', 'Drama']",
Court,2014,7.6,7500000,['Drama'],"Awards, 21 wins & 10 nominations total"
Noi the Albino,2003,7.3,7500000,"['Comedy', 'Drama']","Awards, 20 wins & 15 nominations total"
Down the Shore,2011,5.9,7500000,"['Drama', 'Mystery', 'Romance', 'Thriller']",
Freak Show,2017,6.5,7500000,"['Comedy', 'Drama']","Awards, 4 nominations total"
The Fiancé,2016,2.4,7500000,['Horror'],
Presenting Princess Shaw,2015,6.9,7500000,"['Documentary', 'Music']","Awards, 6 wins & 7 nominations total"
Tahara,2002,5.7,7500000,['Drama'],"Awards, 1 win & 6 nominations total"
Emptying the Skies,2013,7.4,7500000,['Documentary'],"Awards, 3 wins total"
People Say I'm Crazy,2003,7.9,7500000,['Documentary'],"Awards, 3 wins total"
The Whale,2011,8.1,7500000,['Documentary'],"Awards, 1 win total"
The Black Sea,2024,8.0,7500000,"['Comedy', 'Drama']","Awards, 1 win & 4 nominations total"
Watermarks,2004,7.2,7500000,"['Documentary', 'History', 'Sport']","Awards, 10 wins & 1 nomination total"
Freestyle: The Art of Rhyme,2000,7.4,7400000,"['Music Documentary', 'Documentary', 'Music']","Awards, 4 wins total"
Half of a Yellow Sun,2013,6.1,7400000,"['Drama', 'Romance']","Awards, 6 nominations total"
Girlhood,2003,7.1,7395080,"['Crime', 'Documentary']","Awards, 4 wins total"
Bettie Page Reveals All,2012,7.0,7300000,"['Biography', 'Documentary']","Awards, 1 win total"
The Departure,2017,7.1,7300000,['Documentary'],"Awards, 4 nominations total"
A Little Family Drama,2024,8.8,7300000,"['Comedy', 'Drama']","Awards, 10 wins & 2 nominations total"
Werckmeister Harmonies,2000,8.0,7217600,"['Tragedy', 'Drama', 'Mystery']","Awards, 5 wins & 2 nominations total"
The Young Unknowns,2000,4.1,7200000,['Drama'],"Awards, 1 win total"
Fire in the Blood,2013,7.7,7200000,"['Documentary', 'History']","Awards, 8 wins & 3 nominations total"
Quiet City,2007,6.3,7100000,['Drama'],"Awards, 2 wins & 1 nomination total"
Beba,2021,6.3,7000000,['Documentary'],"Awards, 1 win & 5 nominations total"
Putty Hill,2010,5.9,7000000,['Drama'],"Awards, 2 wins & 4 nominations total"
Children of Invention,2009,6.5,7000000,['Drama'],"Awards, 15 wins & 2 nominations total"
Bye Bye Germany,2017,6.5,7000000,"['Comedy', 'Drama', 'War']","Awards, 4 wins & 4 nominations total"
The Cured,2017,5.6,7000000,"['Zombie Horror', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']","Awards, 2 nominations total"
Actress,2014,6.2,7000000,"['Documentary', 'Drama']","Awards, 2 wins & 12 nominations total"
Torn,2013,5.9,7000000,['Drama'],"Awards, 3 wins total"
The Son's Room,2001,7.3,7000000,['Drama'],"Awards, 16 wins & 28 nominations total"
Genesis,2004,7.1,7000000,['Documentary'],"Awards, 1 win & 1 nomination total"
Wagner & Me,2010,7.0,7000000,"['Biography', 'Documentary', 'History', 'Music']",
John Rabe,2009,7.2,7000000,"['Biography', 'Drama', 'History', 'War']","Awards, 8 wins & 7 nominations total"
Sisters in Law,2005,7.3,7000000,['Documentary'],"Awards, 7 wins & 4 nominations total"
Girl Model,2011,6.5,7000000,"['Documentary', 'Thriller']","Awards, 2 wins & 1 nomination total"
1982,2019,6.7,7000000,"['Drama', 'History', 'Romance', 'Sci-Fi']","Awards, 16 wins & 13 nominations total"
Counting,2015,6.2,7000000,['Documentary'],"Awards, 1 win total"
The Wedding Party 2: Destination Dubai,2017,4.7,7000000,['Comedy'],
What Doesn't Float,2023,6.9,7000000,"['Dark Comedy', 'Comedy', 'Drama']","Awards, 3 nominations total"
Jet Trash,2016,5.0,7000000,"['Drama', 'Thriller']","Awards, 1 nomination total"
Pawn Shop Chronicles,2013,5.9,7000000,"['Dark Comedy', 'Action', 'Comedy', 'Crime']",
Bright Days Ahead,2013,6.3,7000000,"['Drama', 'Romance']","Awards, 2 nominations total"
With All Deliberate Speed,2004,7.7,7000000,"['Documentary', 'History']","Nominated for 1 Primetime Emmy, 1 nomination total"
The Wild Pear Tree,2018,8.0,7000000,['Drama'],"Awards, 10 wins & 15 nominations total"
Revolution #9,2001,6.7,7000000,['Thriller'],"Awards, 2 wins & 1 nomination total"
Love is in the Air,2013,6.3,7000000,"['Comedy', 'Romance']","Awards, 1 nomination total"
Desolation Center,2018,7.4,7000000,['Documentary'],"Awards, 3 nominations total"
Custody,2017,7.5,7000000,"['Drama', 'Thriller']","Awards, 23 wins & 32 nominations total"
Whole New Thing,2005,6.7,7000000,"['Comedy', 'Drama']","Awards, 11 wins & 3 nominations total"
If You Build It,2013,7.2,7000000,['Documentary'],"Awards, 2 wins total"
Broken Sky,2006,5.7,7000000,"['Drama', 'Romance']","Awards, 2 wins total"
The Lucky Man,2017,4.7,7000000,"['Action', 'Drama', 'Sci-Fi']","Awards, 3 wins total"
Beyond the Black Rainbow,2010,5.9,7000000,"['Psychological Horror', 'Horror', 'Mystery', 'Sci-Fi']","Awards, 5 wins total"
Gangster's Paradise: Jerusalema,2008,7.3,7000000,"['Action', 'Crime', 'Drama']","Awards, 6 wins & 1 nomination total"
Tehran Taboo,2017,7.1,7000000,"['Animation', 'Drama']","Awards, 4 wins & 6 nominations total"
Gabriel and the Mountain,2017,7.0,7000000,"['Adventure', 'Biography', 'Drama', 'Romance']","Awards, 6 wins & 17 nominations total"
Oceans Are the Real Continents,2023,7.1,7000000,['Drama'],"Awards, 4 wins & 10 nominations total"
Making Him Famous,2023,8.1,7000000,"['Drama', 'Family']",
How I Ended This Summer,2010,6.9,7000000,['Drama'],"Awards, 16 wins & 24 nominations total"
Chestnut,2023,4.8,7000000,['Drama'],"Awards, 1 nomination total"
Salt of This Sea,2008,6.8,7000000,"['Drama', 'Romance']","Awards, 6 wins & 3 nominations total"
The Meaning of Hitler,2020,6.3,7000000,['Documentary'],"Awards, 1 nomination total"
Grbavica,2006,7.2,7000000,['Drama'],"Awards, 12 wins & 7 nominations total"
Hell Baby,2013,4.9,7000000,"['Comedy', 'Horror']",
The Tree,2010,6.5,7000000,"['Drama', 'Romance']","Awards, 1 win & 17 nominations total"
One More Round,2005,6.2,7000000,"['Comedy', 'Drama']",
Lucky,2011,5.3,7000000,"['Dark Comedy', 'Comedy']",
The Woman with the 5 Elephants,2009,7.6,7000000,['Documentary'],"Awards, 5 wins & 6 nominations total"
Minyan,2020,6.5,7000000,['Drama'],"Awards, 3 wins & 4 nominations total"
Theo Who Lived,2016,6.9,7000000,['Documentary'],"Awards, 1 win total"
Take Me to the River: New Orleans,2022,8.9,7000000,['Documentary'],"Awards, 1 nomination total"
The Tracker,2002,7.3,7000000,"['Drama', 'Western']","Awards, 16 wins & 16 nominations total"
"No Date, No Signature",2017,7.2,7000000,"['Drama', 'Mystery', 'Thriller']","Awards, 20 wins & 21 nominations total"
See What I'm Saying: The Deaf Entertainers Documentary,2009,7.0,7000000,['Documentary'],"Awards, 2 wins total"
Perfect Pie,2002,5.6,7000000,['Drama'],"Awards, 1 win & 3 nominations total"
Becoming Traviata,2012,6.7,7000000,"['Documentary', 'Musical']",
Carol Channing: Larger Than Life,2012,7.6,7000000,"['Biography', 'Comedy', 'Documentary', 'Music']","Awards, 1 win & 2 nominations total"
Prophet's Prey,2015,7.2,7000000,"['Faith & Spirituality Documentary', 'Biography', 'Documentary', 'History']","Awards, 2 nominations total"
Closed Curtain,2013,6.5,7000000,['Drama'],"Awards, 2 wins & 8 nominations total"
Clarence,2015,9.0,7000000,['Documentary'],"Awards, 3 wins total"
Adored: Diary of a Porn Star,2003,5.8,7000000,"['Drama', 'Romance']","Awards, 3 wins & 2 nominations total"
Los Angeles Plays Itself,2003,7.8,7000000,"['Documentary', 'History']","Awards, 3 wins & 1 nomination total"
I Hate Valentine's Day,2009,4.7,7000000,"['Comedy', 'Romance']","Awards, 1 nomination total"
Meet Me in Montenegro,2014,5.9,7000000,"['Comedy', 'Drama', 'Romance']",
Kings of L.A.,2023,7.2,7000000,"['Action', 'Comedy', 'Crime', 'Drama']",
Treeless Mountain,2008,7.0,7000000,['Drama'],"Awards, 8 wins & 10 nominations total"
Or (My Treasure),2004,7.0,7000000,"['Drama', 'Romance']","Awards, 11 wins & 8 nominations total"
Gunda,2020,7.1,7000000,['Documentary'],"Awards, 9 wins & 32 nominations total"
Germans & Jews,2016,7.6,7000000,['Documentary'],
Melancholian 3 huonetta,2004,7.2,7000000,"['Documentary', 'War']","Awards, 13 wins & 6 nominations total"
Wish Me Away,2011,7.5,7000000,"['Biography', 'Documentary', 'Music']","Awards, 2 wins & 3 nominations total"
Breaking Bread,2020,7.6,7000000,['Documentary'],
Snow Cake,2006,7.4,7000000,"['Drama', 'Romance']","Awards, 3 wins & 7 nominations total"
30 Years of Garbage: The Garbage Pail Kids Story,2017,6.8,7000000,['Documentary'],
California Typewriter,2016,7.3,7000000,['Documentary'],"Awards, 3 wins & 5 nominations total"
Abduction: The Megumi Yokota Story,2006,7.7,7000000,"['Crime', 'Documentary', 'Mystery']","Awards, 4 wins total"
Celebration,2007,6.5,7000000,['Documentary'],
Good Dick,2008,6.3,7000000,"['Comedy', 'Drama', 'Romance']","Awards, 1 win & 1 nomination total"
Once Again (For the Very First Time),2023,8.3,7000000,"['Drama', 'Music', 'Romance']","Awards, 1 win total"
Angels in the Dust,2007,7.7,7000000,['Documentary'],"Awards, 6 wins & 2 nominations total"
Venus Boyz,2002,6.4,7000,['Documentary'],"Awards, 3 wins & 2 nominations total"
Muzzle,2023,5.5,7000,"['Conspiracy Thriller', 'Action', 'Crime', 'Drama', 'Thriller']",
Gypsy 83,2001,6.8,69000000,"['Drama', 'Romance']","Awards, 4 wins & 1 nomination total"
Under the Boardwalk: The Monopoly Story,2010,6.1,69000000,"['Documentary', 'History', 'Sport']","Awards, 5 wins & 1 nomination total"
Simon Killer,2012,6.3,69000000,"['Drama', 'Horror', 'Thriller']","Awards, 1 win & 5 nominations total"
Why Don't You Play in Hell?,2013,7.1,69000000,"['Action', 'Comedy', 'Horror']","Awards, 8 wins & 11 nominations total"
Red Obsession,2013,6.6,69000000,"['News', 'Documentary', 'History']","Awards, 2 wins & 4 nominations total"
"Lou Andreas-Salomé, The Audacity to be Free",2016,6.5,69000000,"['Biography', 'Drama', 'History', 'Romance']","Awards, 2 wins total"
Breathe,2014,7.0,68005000,"['Coming-of-Age', 'Psychological Drama', 'Drama']","Awards, 3 wins & 10 nominations total"
Like Me,2017,5.2,68000000,"['Crime', 'Drama', 'Horror']","Awards, 2 nominations total"
Aberdeen,2000,7.1,68000000,['Drama'],"Awards, 9 wins & 7 nominations total"
In Between Days,2006,6.4,68000000,['Drama'],"Awards, 5 wins & 7 nominations total"
Ai Weiwei: The Fake Case,2013,6.5,68000000,"['Documentary', 'Drama']","Awards, 2 wins & 2 nominations total"
At Berkeley,2013,7.2,68000000,['Documentary'],"Awards, 3 wins & 6 nominations total"
All About Evil,2010,6.1,68000000,"['Comedy', 'Horror']",
Mosquita y Mari,2012,6.3,68000000,['Drama'],"Awards, 7 nominations total"
Sold,2014,6.8,68000000,['Drama'],"Awards, 3 wins & 1 nomination total"
I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal,2007,7.9,68000000,"['Biography', 'Documentary']","Awards, 1 win total"
2073,2024,5.2,68000000,"['Documentary', 'Thriller']","Awards, 1 win & 2 nominations total"
"What the Hell Happened to Blood, Sweat & Tears?",2023,7.1,68000000,['Documentary'],"Awards, 2 nominations total"
Slutty Summer,2004,5.1,68000000,"['Comedy', 'Drama', 'Romance']",
Time Is Up,2021,4.2,68000000,"['Drama', 'Romance']",
White Elephant,2012,6.5,67000000,"['Crime', 'Drama']","Awards, 1 win & 9 nominations total"
Santosh,2024,7.0,67000000,"['Crime', 'Drama', 'Thriller']","Nominated for 1 BAFTA Award, 8 wins & 10 nominations total"
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,2012,5.8,67000000,"['Adult Animation', 'Stop Motion Animation', 'Animation', 'Comedy']",
The Look of Love,2013,6.0,66000000,"['Biography', 'Comedy', 'Drama']","Awards, 1 win & 1 nomination total"
I Am the Blues,2015,7.5,66000000,"['Documentary', 'History', 'Music']","Awards, 2 wins & 1 nomination total"
Camille Claudel 1915,2013,6.5,66000000,"['Biography', 'Drama']","Awards, 4 wins & 5 nominations total"
Jazz in the Diamond District,2008,5.5,66000,['Drama'],
The Strip,2009,7.6,650000,['Comedy'],
Balseros,2002,7.2,650000,['Documentary'],"Nominated for 1 Oscar, 7 wins & 4 nominations total"
Divinity,2023,5.3,650000,"['Dystopian Sci-Fi', 'Sci-Fi', 'Thriller']","Awards, 5 nominations total"
Piaffe,2022,5.6,650000,"['Drama', 'Fantasy']","Awards, 8 wins & 13 nominations total"
Legend of the Naga Pearls,2017,5.5,650000,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']","Awards, 2 nominations total"
Esther Kahn,2000,6.7,650000,"['Drama', 'Romance']","Awards, 2 wins & 1 nomination total"
Formula 17,2004,6.2,650000,"['Comedy', 'Romance']","Awards, 1 win & 4 nominations total"
Happy Magic,2011,4.6,650000,"['Action', 'Comedy', 'Fantasy']","Awards, 1 nomination total"
Dhoondte Reh Jaoge,2009,5.6,650000,"['Parody', 'Comedy', 'Drama']",
Entertainment,2015,5.7,650000,['Drama'],"Awards, 1 win & 3 nominations total"
From Afar,2015,6.6,650000,"['Drama', 'Romance']","Awards, 11 wins & 26 nominations total"
In Pursuit of Silence,2015,7.1,650000,['Documentary'],"Awards, 2 wins & 5 nominations total"
Four Daughters,2023,7.4,650000,['Documentary'],"Nominated for 1 Oscar, 21 wins & 33 nominations total"
Princesses,2005,6.9,65000000,['Drama'],"Awards, 10 wins & 18 nominations total"
Hal,2018,7.2,65000000,"['Biography', 'Documentary']","Awards, 6 nominations total"
Pure,2002,6.8,65000000,['Drama'],"Awards, 4 wins total"
And They're Off,2011,3.9,65000000,['Comedy'],
Blue Jay,2016,7.2,65000000,"['Drama', 'Romance']","Awards, 1 nomination total"
The Cats of Mirikitani,2006,8.2,65000000,['Documentary'],"Awards, 17 wins & 3 nominations total"
Tharlo,2015,6.8,65000000,['Drama'],"Awards, 17 wins & 19 nominations total"
"Vendetta: No Conscience, No Mercy",2004,4.9,65000000,"['Action', 'Crime', 'Drama']",
Valley of the Heart's Delight,2006,5.5,65000000,['Drama'],"Awards, 1 win total"
"Monrovia, Indiana",2018,7.0,65000000,['Documentary'],"Awards, 1 win & 4 nominations total"
The Thorn in the Heart,2009,6.1,65000000,['Documentary'],"Awards, 2 nominations total"
The Ledge,2011,6.5,65000000,"['Drama', 'Romance', 'Thriller']","Awards, 1 nomination total"
Tangerines,2013,8.1,65000000,"['Drama', 'War']","Nominated for 1 Oscar, 12 wins & 10 nominations total"
The Raspberry Reich,2004,5.1,65000000,"['Parody', 'Satire', 'Comedy', 'Drama', 'Romance']","Awards, 2 wins total"
Sweet Virginia,2017,6.2,65000000,"['Drama', 'Thriller']","Awards, 2 nominations total"
Merci Docteur Rey,2002,6.0,65000000,['Comedy'],"Awards, 1 nomination total"
The Galapagos Affair: Satan Came to Eden,2013,6.8,65000000,"['Biography', 'Crime', 'Documentary', 'History', 'Mystery']","Awards, 3 nominations total"
Who We Are Now,2017,6.5,65000000,['Drama'],"Awards, 2 wins & 2 nominations total"
The Ones Below,2015,6.1,65000000,"['Drama', 'Thriller']","Awards, 3 nominations total"
Après la vie,2002,7.0,65000000,"['Crime', 'Drama']","Awards, 8 wins & 4 nominations total"
Fighting Tommy Riley,2004,6.5,65000000,"['Drama', 'Mystery', 'Romance', 'Sport']","Awards, 1 win total"
Southern Baptist Sissies,2013,7.3,65000000,['Drama'],"Awards, 15 wins total"
Forever,2006,7.7,65000000,['Documentary'],"Awards, 5 wins & 3 nominations total"
Brothers of the Head,2005,6.2,65000000,"['Drama', 'Music']","Awards, 3 wins & 5 nominations total"
Dancing Across Borders,2010,6.5,65000000,['Documentary'],"Awards, 1 nomination total"
A Beginner's Guide to Snuff,2016,5.0,65000000,"['Comedy', 'Horror', 'Thriller']","Awards, 3 wins & 2 nominations total"
Toe to Toe,2009,5.4,65000000,['Drama'],"Awards, 2 nominations total"
In Order of Disappearance,2014,7.1,65000000,"['Dark Comedy', 'Gangster', 'Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","Awards, 4 wins & 10 nominations total"
Turn It Around: The Story of East Bay Punk,2017,7.8,65000000,"['Documentary', 'History', 'Music']",
The Babymakers,2012,5.0,65000000,['Comedy'],"Awards, 1 nomination total"
Twiceborn,2020,4.4,65000000,['Drama'],"Awards, 1 win & 3 nominations total"
Interior. Leather Bar.,2013,5.0,65000000,['Drama'],"Awards, 2 wins & 3 nominations total"
More Than Honey,2012,7.5,65000000,['Documentary'],"Awards, 10 wins & 5 nominations total"
Let the Fire Burn,2013,7.8,65000000,"['Documentary', 'History']","Awards, 6 wins & 12 nominations total"
The Cave of the Yellow Dog,2005,7.5,65000000,"['Drama', 'Family']","Awards, 9 wins & 2 nominations total"
The Suicide Theory,2014,6.5,65000000,['Drama'],"Awards, 3 wins total"
